geometry,code
POINT (0.0007682729713985 0.0002482021763733),BaylorSCH0SE-WasinkhyahTMP0SE-133
POINT (0.000768275336858 0.0002482022048523),BaylorSCH0SE-WasinkhyahTMP0SE-134
POINT (0.0007682561877928 0.0002482212235228),BaylorSCH0SE-WasinkhyahTMP0SE-135
POINT (0.0007682210789177 0.0002482251685752),BaylorSCH0SW-WasinkhyahTMP0SW-9
POINT (0.0007682193001086 0.0002482239375863),BaylorSCH0SW-WasinkhyahTMP0SW-10
POINT (0.000768225257706 0.0002482237305996),BaylorSCH0SW-WasinkhyahTMP0SW-11
POINT (0.0007682441958258 0.0002482157544753),BaylorSCH0S-WasinkhyahTMP0S-34
POINT (0.0007682254838737 0.0002482221095713),BaylorSCH0SW-WasinkhyahTMP0SW-12
POINT (0.0007682253131995 0.000248222719014),BaylorSCH0SW-WasinkhyahTMP0SW-13
POINT (0.0007682279244017 0.0002482187624061),BaylorSCH0SW-WasinkhyahTMP0SW-14
POINT (0.0007682259235607 0.0002482188226187),BaylorSCH0SW-WasinkhyahTMP0SW-15
POINT (0.0007682400740479 0.0002482192444738),BaylorSCH0S-WasinkhyahTMP0S-35
POINT (0.0007682416961252 0.0002482089773394),BaylorSCH0S-WasinkhyahTMP0S-36
POINT (0.000768244476242 0.0002482085994377),BaylorSCH0S-WasinkhyahTMP0S-37
POINT (0.0007682313614897 0.00024819965325),BaylorSCH0SW-WasinkhyahTMP0SW-16
POINT (0.0007682627063314 0.0002482053195587),BaylorSCH0SE-WasinkhyahTMP0SE-136
POINT (0.0007682642099615 0.0002482049199935),BaylorSCH0SE-WasinkhyahTMP0SE-137
POINT (0.0007682344928797 0.0002482192940787),BaylorSCH0SW-WasinkhyahTMP0SW-17
POINT (0.0007682220409296 0.0002482016926802),BaylorSCH0SW-WasinkhyahTMP0SW-18
POINT (0.0007682258214658 0.0002481946215457),BaylorSCH0SW-WasinkhyahTMP0SW-19
POINT (0.0007682202361419 0.0002482087800192),BaylorSCH0SW-WasinkhyahTMP0SW-20
POINT (0.0007682196487872 0.000248196582463),BaylorSCH0SW-WasinkhyahTMP0SW-21
POINT (0.0007682213622352 0.0002482043077673),BaylorSCH0SW-WasinkhyahTMP0SW-22
POINT (0.0007682194824158 0.0002482069528258),BaylorSCH0SW-WasinkhyahTMP0SW-23
POINT (0.000768245962157 0.0002482144113318),BaylorSCH0S-WasinkhyahTMP0S-38
POINT (0.0007682274553854 0.0002481953649444),BaylorSCH0SW-WasinkhyahTMP0SW-24
POINT (0.0007682474541813 0.0002482158400384),BaylorSCH0S-WasinkhyahTMP0S-39
POINT (0.0007682208095212 0.0002481978362366),BaylorSCH0SW-WasinkhyahTMP0SW-25
POINT (0.0007682212421548 0.0002482213880511),BaylorSCH0SW-WasinkhyahTMP0SW-26
POINT (0.0007682190973748 0.0002481969034677),BaylorSCH0SW-WasinkhyahTMP0SW-27
POINT (0.0007682938972051 0.0002481897653163),BaylorSCH0SE-WasinkhyahTMP0SE-138
POINT (0.0007682919783105 0.0002481892644593),BaylorSCH0SE-WasinkhyahTMP0SE-139
POINT (0.0007682941065994 0.0002482241569645),BaylorSCH0E-WasinkhyahTMP0E
POINT (0.0007682939811522 0.0002482229570325),BaylorSCH0E-WasinkhyahTMP0E-2
POINT (0.0007682907570478 0.0002482236377521),BaylorSCH0E-WasinkhyahTMP0E-3
POINT (0.0007682876675893 0.0002482251961392),BaylorSCH0E-WasinkhyahTMP0E-4
POINT (0.0007682917152026 0.0002482290386313),BaylorSCH0E-WasinkhyahTMP0E-5
POINT (0.0007682925814746 0.0002482292979693),BaylorSCH0E-WasinkhyahTMP0E-6
POINT (0.0007682858892607 0.0002482229431708),BaylorSCH0E-WasinkhyahTMP0E-7
POINT (0.0007682870498323 0.0002482221774121),BaylorSCH0E-WasinkhyahTMP0E-8
POINT (0.0007682887537251 0.0002482216976216),BaylorSCH0E-WasinkhyahTMP0E-9
POINT (0.0007682894156557 0.0002482207288887),BaylorSCH0E-WasinkhyahTMP0E-10
POINT (0.0007682908365452 0.0002482207545153),BaylorSCH0E-WasinkhyahTMP0E-11
POINT (0.0007682942683323 0.0002482204551525),BaylorSCH0E-WasinkhyahTMP0E-12
POINT (0.0007682848715933 0.0002482174719333),BaylorSCH0SE-WasinkhyahTMP0SE-140
POINT (0.0007682928815889 0.0002482120015899),BaylorSCH0SE-WasinkhyahTMP0SE-141
POINT (0.0007682843183081 0.0002482131914364),BaylorSCH0SE-WasinkhyahTMP0SE-142
POINT (0.0007682818986501 0.0002482328313708),BaylorSCH0E-WasinkhyahTMP0E-13
POINT (0.0007682859644255 0.000248232166073),BaylorSCH0E-WasinkhyahTMP0E-14
POINT (0.0007682776023098 0.0002482302824804),BaylorSCH0E-WasinkhyahTMP0E-15
POINT (0.0007682693438548 0.0002482334131516),BaylorSCH0E-WasinkhyahTMP0E-16
POINT (0.0007682787712894 0.0002482352711042),BaylorSCH0E-WasinkhyahTMP0E-17
POINT (0.0007682657914296 0.0002482344114616),BaylorSCH0E-WasinkhyahTMP0E-18
POINT (0.0007682666987717 0.0002482341105807),BaylorSCH0E-WasinkhyahTMP0E-19
POINT (0.0007682216598942 0.0002482091463945),BaylorSCH0SW-WasinkhyahTMP0SW-28
POINT (0.0007682216976613 0.0002482068930878),BaylorSCH0SW-WasinkhyahTMP0SW-29
POINT (0.000768222980764 0.000248207020303),BaylorSCH0SW-WasinkhyahTMP0SW-30
POINT (0.0007682228546914 0.0002482092480213),BaylorSCH0SW-WasinkhyahTMP0SW-31
POINT (0.0007682179554373 0.0002482107599757),BaylorSCH0SW-WasinkhyahTMP0SW-32
POINT (0.0007682194746999 0.0002482094254051),BaylorSCH0SW-WasinkhyahTMP0SW-33
POINT (0.0007682313651654 0.000248238488805),BaylorSCH0W-WasinkhyahTMP0W-5
POINT (0.0007682742711657 0.0002482354197101),BaylorSCH0E-WasinkhyahTMP0E-20
POINT (0.0007682734091806 0.0002482313654419),BaylorSCH0E-WasinkhyahTMP0E-21
POINT (0.00076823314235 0.000248238000346),BaylorSCH0W-WasinkhyahTMP0W-6
